Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Feb 23 2015,8:00p,Milwaukee Bucks,71,Chicago Bulls,87,Box Score,,21434,
Mon Feb 23 2015,8:00p,Minnesota Timberwolves,102,Houston Rockets,113,Box Score,,18240,
Mon Feb 23 2015,8:00p,Toronto Raptors,97,New Orleans Pelicans,100,Box Score,,16514,
Mon Feb 23 2015,9:00p,Brooklyn Nets,110,Denver Nuggets,82,Box Score,,13127,
Mon Feb 23 2015,9:00p,Boston Celtics,115,Phoenix Suns,110,Box Score,,17076,
Mon Feb 23 2015,9:00p,San Antonio Spurs,81,Utah Jazz,90,Box Score,,18782,
Mon Feb 23 2015,10:30p,Memphis Grizzlies,90,Los Angeles Clippers,87,Box Score,,19161,
Tue Feb 24 2015,7:00p,Golden State Warriors,114,Washington Wizards,107,Box Score,,20356,
Tue Feb 24 2015,7:30p,Cleveland Cavaliers,102,Detroit Pistons,93,Box Score,,19087,
Tue Feb 24 2015,8:00p,Indiana Pacers,92,Oklahoma City Thunder,105,Box Score,,18203,
Tue Feb 24 2015,8:30p,Toronto Raptors,92,Dallas Mavericks,99,Box Score,,20151,
Wed Feb 25 2015,7:00p,Miami Heat,93,Orlando Magic,90,Box Score,OT,18309,
Wed Feb 25 2015,7:30p,Dallas Mavericks,87,Atlanta Hawks,104,Box Score,,16126,
Wed Feb 25 2015,7:30p,New York Knicks,94,Boston Celtics,115,Box Score,,16899,
Wed Feb 25 2015,8:00p,Charlotte Hornets,98,Chicago Bulls,86,Box Score,,21509,
Wed Feb 25 2015,8:00p,Los Angeles Clippers,105,Houston Rockets,110,Box Score,,18154,
Wed Feb 25 2015,8:00p,Philadelphia 76ers,88,Milwaukee Bucks,104,Box Score,,12763,
Wed Feb 25 2015,8:00p,Washington Wizards,77,Minnesota Timberwolves,97,Box Score,,19856,
Wed Feb 25 2015,8:00p,Brooklyn Nets,96,New Orleans Pelicans,102,Box Score,,16097,
Wed Feb 25 2015,9:00p,Phoenix Suns,110,Denver Nuggets,96,Box Score,,12813,
Wed Feb 25 2015,9:00p,Los Angeles Lakers,100,Utah Jazz,97,Box Score,,19911,
Wed Feb 25 2015,10:00p,Memphis Grizzlies,90,Sacramento Kings,102,Box Score,,16794,
Wed Feb 25 2015,10:30p,San Antonio Spurs,95,Portland Trail Blazers,111,Box Score,,19650,
Thu Feb 26 2015,8:00p,Golden State Warriors,99,Cleveland Cavaliers,110,Box Score,,20562,
Thu Feb 26 2015,10:30p,Oklahoma City Thunder,113,Phoenix Suns,117,Box Score,OT,17514,
Fri Feb 27 2015,7:00p,Cleveland Cavaliers,86,Indiana Pacers,93,Box Score,,18165,
Fri Feb 27 2015,7:00p,Washington Wizards,81,Philadelphia 76ers,89,Box Score,,18089,
Fri Feb 27 2015,7:30p,Orlando Magic,88,Atlanta Hawks,95,Box Score,,18968,
Fri Feb 27 2015,7:30p,Charlotte Hornets,98,Boston Celtics,106,Box Score,,18624,
Fri Feb 27 2015,7:30p,New York Knicks,121,Detroit Pistons,115,Box Score,2OT,16182,
Fri Feb 27 2015,7:30p,Golden State Warriors,113,Toronto Raptors,89,Box Score,,19800,
Fri Feb 27 2015,8:00p,Minnesota Timberwolves,89,Chicago Bulls,96,Box Score,,21635,
Fri Feb 27 2015,8:00p,Brooklyn Nets,98,Houston Rockets,102,Box Score,,18139,
Fri Feb 27 2015,8:00p,Los Angeles Clippers,97,Memphis Grizzlies,79,Box Score,,18119,
Fri Feb 27 2015,8:00p,Miami Heat,102,New Orleans Pelicans,104,Box Score,,17797,
Fri Feb 27 2015,9:00p,Utah Jazz,104,Denver Nuggets,82,Box Score,,15002,
Fri Feb 27 2015,10:00p,San Antonio Spurs,107,Sacramento Kings,96,Box Score,,17317,
Fri Feb 27 2015,10:30p,Milwaukee Bucks,93,Los Angeles Lakers,101,Box Score,,18997,
Fri Feb 27 2015,10:30p,Oklahoma City Thunder,112,Portland Trail Blazers,115,Box Score,,19962,
Sat Feb 28 2015,7:00p,Detroit Pistons,95,Washington Wizards,99,Box Score,,20356,
Sat Feb 28 2015,7:30p,Atlanta Hawks,93,Miami Heat,91,Box Score,,19733,
Sat Feb 28 2015,7:30p,Toronto Raptors,98,New York Knicks,103,Box Score,,19812,
Sat Feb 28 2015,8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,97,Box Score,,19356,
Sat Feb 28 2015,8:30p,Brooklyn Nets,104,Dallas Mavericks,94,Box Score,,20367,
Sat Feb 28 2015,9:00p,San Antonio Spurs,101,Phoenix Suns,74,Box Score,,18055,
Sat Feb 28 2015,9:00p,Milwaukee Bucks,75,Utah Jazz,82,Box Score,,19515,
Sun Mar 1 2015,1:00p,Los Angeles Clippers,96,Chicago Bulls,86,Box Score,,21680,
Sun Mar 1 2015,3:30p,Cleveland Cavaliers,103,Houston Rockets,105,Box Score,OT,18345,
Sun Mar 1 2015,6:00p,Golden State Warriors,106,Boston Celtics,101,Box Score,,18624,
Sun Mar 1 2015,6:00p,Philadelphia 76ers,74,Indiana Pacers,94,Box Score,,16581,
Sun Mar 1 2015,6:00p,Charlotte Hornets,98,Orlando Magic,83,Box Score,,15422,
Sun Mar 1 2015,6:00p,Portland Trail Blazers,110,Sacramento Kings,99,Box Score,,16776,
Sun Mar 1 2015,6:30p,Oklahoma City Thunder,108,Los Angeles Lakers,101,Box Score,,18997,
Sun Mar 1 2015,8:00p,New Orleans Pelicans,99,Denver Nuggets,92,Box Score,,13109,
Mon Mar 2 2015,7:00p,Toronto Raptors,114,Philadelphia 76ers,103,Box Score,,10742,
Mon Mar 2 2015,7:30p,Golden State Warriors,108,Brooklyn Nets,110,Box Score,,17732,
Mon Mar 2 2015,7:30p,Phoenix Suns,98,Miami Heat,115,Box Score,,19600,
Mon Mar 2 2015,8:00p,Los Angeles Clippers,110,Minnesota Timberwolves,105,Box Score,,18239,
Mon Mar 2 2015,8:30p,New Orleans Pelicans,93,Dallas Mavericks,102,Box Score,,20367,
Tue Mar 3 2015,7:00p,Los Angeles Lakers,103,Charlotte Hornets,104,Box Score,,16947,
Tue Mar 3 2015,7:00p,Boston Celtics,79,Cleveland Cavaliers,110,Box Score,,20562,
Tue Mar 3 2015,7:00p,Sacramento Kings,124,New York Knicks,86,Box Score,,19812,
Tue Mar 3 2015,7:30p,Houston Rockets,96,Atlanta Hawks,104,Box Score,,18968,
Tue Mar 3 2015,8:00p,Washington Wizards,92,Chicago Bulls,97,Box Score,,21468,
Tue Mar 3 2015,8:00p,Utah Jazz,93,Memphis Grizzlies,82,Box Score,,16779,
Tue Mar 3 2015,9:00p,Milwaukee Bucks,95,Denver Nuggets,106,Box Score,,12234,
Wed Mar 4 2015,7:00p,New York Knicks,82,Indiana Pacers,105,Box Score,,15981,
Wed Mar 4 2015,7:00p,Phoenix Suns,105,Orlando Magic,100,Box Score,,15822,
Wed Mar 4 2015,7:30p,Utah Jazz,84,Boston Celtics,85,Box Score,,16354,
Wed Mar 4 2015,7:30p,Charlotte Hornets,115,Brooklyn Nets,91,Box Score,,16691,
Wed Mar 4 2015,7:30p,Cleveland Cavaliers,120,Toronto Raptors,112,Box Score,,19800,
Wed Mar 4 2015,8:00p,Memphis Grizzlies,102,Houston Rockets,100,Box Score,,18224,
Wed Mar 4 2015,8:00p,Los Angeles Lakers,94,Miami Heat,100,Box Score,,19600,
Wed Mar 4 2015,8:00p,Denver Nuggets,100,Minnesota Timberwolves,85,Box Score,,13848,
Wed Mar 4 2015,8:00p,Detroit Pistons,85,New Orleans Pelicans,88,Box Score,,16925,
Wed Mar 4 2015,8:00p,Philadelphia 76ers,118,Oklahoma City Thunder,123,Box Score,OT,18203,
Wed Mar 4 2015,8:30p,Sacramento Kings,85,San Antonio Spurs,112,Box Score,,18581,
Wed Mar 4 2015,10:30p,Milwaukee Bucks,93,Golden State Warriors,102,Box Score,,19596,
Wed Mar 4 2015,10:30p,Portland Trail Blazers,98,Los Angeles Clippers,93,Box Score,OT,19060,
Thu Mar 5 2015,8:00p,Oklahoma City Thunder,105,Chicago Bulls,108,Box Score,,21696,
Thu Mar 5 2015,10:30p,Dallas Mavericks,75,Portland Trail Blazers,94,Box Score,,19499,
Fri Mar 6 2015,7:00p,Toronto Raptors,94,Charlotte Hornets,103,Box Score,,19080,
Fri Mar 6 2015,7:00p,Chicago Bulls,84,Indiana Pacers,98,Box Score,,18165,
Fri Mar 6 2015,7:00p,Sacramento Kings,114,Orlando Magic,119,Box Score,,15112,
Fri Mar 6 2015,7:00p,Utah Jazz,89,Philadelphia 76ers,83,Box Score,,15811,
Fri Mar 6 2015,7:00p,Miami Heat,97,Washington Wizards,99,Box Score,,20356,
Fri Mar 6 2015,7:30p,Cleveland Cavaliers,97,Atlanta Hawks,106,Box Score,,19244,
Fri Mar 6 2015,8:00p,Phoenix Suns,108,Brooklyn Nets,100,Box Score,OT,16445,
Fri Mar 6 2015,8:00p,Detroit Pistons,93,Houston Rockets,103,Box Score,,18193,
Fri Mar 6 2015,8:00p,Los Angeles Lakers,90,Memphis Grizzlies,97,Box Score,,17399,
Fri Mar 6 2015,8:00p,Boston Celtics,104,New Orleans Pelicans,98,Box Score,,17274,
Fri Mar 6 2015,8:30p,Denver Nuggets,111,San Antonio Spurs,120,Box Score,,18581,
Fri Mar 6 2015,10:30p,Dallas Mavericks,89,Golden State Warriors,104,Box Score,,19596,
Sat Mar 7 2015,7:00p,Memphis Grizzlies,89,New Orleans Pelicans,95,Box Score,,17346,
Sat Mar 7 2015,7:30p,Phoenix Suns,79,Cleveland Cavaliers,89,Box Score,,20562,
Sat Mar 7 2015,7:30p,Sacramento Kings,109,Miami Heat,114,Box Score,OT,19600,
Sat Mar 7 2015,7:30p,Indiana Pacers,92,New York Knicks,86,Box Score,,19812,
Sat Mar 7 2015,7:30p,Atlanta Hawks,84,Philadelphia 76ers,92,Box Score,,17624,
Sat Mar 7 2015,8:00p,Portland Trail Blazers,113,Minnesota Timberwolves,121,Box Score,,19356,
Sat Mar 7 2015,8:30p,Washington Wizards,85,Milwaukee Bucks,91,Box Score,,16216,
Sat Mar 7 2015,9:00p,Houston Rockets,114,Denver Nuggets,100,Box Score,,15231,
Sun Mar 8 2015,1:00p,Chicago Bulls,105,San Antonio Spurs,116,Box Score,,18581,
Sun Mar 8 2015,3:30p,Los Angeles Clippers,98,Golden State Warriors,106,Box Score,,19596,
Sun Mar 8 2015,6:00p,Utah Jazz,95,Brooklyn Nets,88,Box Score,,17041,
Sun Mar 8 2015,6:00p,Charlotte Hornets,108,Detroit Pistons,101,Box Score,,15673,
Sun Mar 8 2015,6:00p,Boston Celtics,98,Orlando Magic,103,Box Score,,17041,
Sun Mar 8 2015,7:00p,Toronto Raptors,104,Oklahoma City Thunder,108,Box Score,,18203,
Sun Mar 8 2015,9:30p,Dallas Mavericks,100,Los Angeles Lakers,93,Box Score,,18997,
Mon Mar 9 2015,7:00p,Washington Wizards,95,Charlotte Hornets,69,Box Score,,15119,
Mon Mar 9 2015,7:30p,Sacramento Kings,105,Atlanta Hawks,130,Box Score,,18418,
Mon Mar 9 2015,7:30p,Boston Celtics,100,Miami Heat,90,Box Score,,19600,
Mon Mar 9 2015,8:00p,Memphis Grizzlies,101,Chicago Bulls,91,Box Score,,21815,
Mon Mar 9 2015,8:00p,New Orleans Pelicans,114,Milwaukee Bucks,103,Box Score,,12218,
Mon Mar 9 2015,9:00p,New York Knicks,78,Denver Nuggets,106,Box Score,,14153,
Mon Mar 9 2015,10:00p,Golden State Warriors,98,Phoenix Suns,80,Box Score,,18055,
Mon Mar 9 2015,10:30p,Minnesota Timberwolves,76,Los Angeles Clippers,89,Box Score,,19060,
Tue Mar 10 2015,7:00p,Orlando Magic,86,Indiana Pacers,118,Box Score,,17295,
Tue Mar 10 2015,7:30p,New Orleans Pelicans,111,Brooklyn Nets,91,Box Score,,16422,
Tue Mar 10 2015,8:30p,Cleveland Cavaliers,127,Dallas Mavericks,94,Box Score,,20501,
Tue Mar 10 2015,8:30p,Toronto Raptors,107,San Antonio Spurs,117,Box Score,,18581,
Tue Mar 10 2015,9:00p,New York Knicks,82,Utah Jazz,87,Box Score,,17121,
Tue Mar 10 2015,10:30p,Detroit Pistons,85,Los Angeles Lakers,93,Box Score,,17771,
Wed Mar 11 2015,7:00p,Sacramento Kings,113,Charlotte Hornets,106,Box Score,,15885,
Wed Mar 11 2015,7:00p,Chicago Bulls,104,Philadelphia 76ers,95,Box Score,OT,12400,
Wed Mar 11 2015,7:30p,Memphis Grizzlies,92,Boston Celtics,95,Box Score,,17135,
Wed Mar 11 2015,7:30p,Brooklyn Nets,98,Miami Heat,104,Box Score,,19600,
Wed Mar 11 2015,8:00p,Orlando Magic,91,Milwaukee Bucks,97,Box Score,,12593,
Wed Mar 11 2015,8:00p,Los Angeles Clippers,120,Oklahoma City Thunder,108,Box Score,,18203,
Wed Mar 11 2015,9:00p,Atlanta Hawks,102,Denver Nuggets,115,Box Score,,13217,
Wed Mar 11 2015,10:00p,Minnesota Timberwolves,97,Phoenix Suns,106,Box Score,,17367,
Wed Mar 11 2015,10:30p,Detroit Pistons,98,Golden State Warriors,105,Box Score,,19596,
Wed Mar 11 2015,10:30p,Houston Rockets,100,Portland Trail Blazers,105,Box Score,,19279,
Thu Mar 12 2015,7:00p,Milwaukee Bucks,103,Indiana Pacers,109,Box Score,OT,15729,
Thu Mar 12 2015,7:00p,Memphis Grizzlies,87,Washington Wizards,107,Box Score,,18186,
Thu Mar 12 2015,9:00p,Houston Rockets,91,Utah Jazz,109,Box Score,,18781,
Thu Mar 12 2015,9:30p,Cleveland Cavaliers,128,San Antonio Spurs,125,Box Score,OT,18581,
Thu Mar 12 2015,10:30p,New York Knicks,101,Los Angeles Lakers,94,Box Score,,18997,
Fri Mar 13 2015,7:00p,Chicago Bulls,91,Charlotte Hornets,101,Box Score,,19183,
Fri Mar 13 2015,7:00p,Sacramento Kings,107,Philadelphia 76ers,114,Box Score,,12331,
Fri Mar 13 2015,7:30p,Orlando Magic,88,Boston Celtics,95,Box Score,,18624,
Fri Mar 13 2015,7:30p,Miami Heat,92,Toronto Raptors,102,Box Score,,19800,
Fri Mar 13 2015,8:00p,Minnesota Timberwolves,99,Oklahoma City Thunder,113,Box Score,,18203,
Fri Mar 13 2015,8:30p,Los Angeles Clippers,99,Dallas Mavericks,129,Box Score,,20444,
Fri Mar 13 2015,9:00p,Golden State Warriors,103,Denver Nuggets,114,Box Score,,19155,
Fri Mar 13 2015,10:00p,Atlanta Hawks,96,Phoenix Suns,87,Box Score,,17136,
Fri Mar 13 2015,10:00p,Detroit Pistons,99,Portland Trail Blazers,118,Box Score,,19486,
Sat Mar 14 2015,7:00p,Boston Celtics,93,Indiana Pacers,89,Box Score,,18165,
Sat Mar 14 2015,7:00p,Sacramento Kings,97,Washington Wizards,113,Box Score,,20356,
Sat Mar 14 2015,7:30p,Brooklyn Nets,94,Philadelphia 76ers,87,Box Score,,14865,
Sat Mar 14 2015,8:00p,Milwaukee Bucks,83,Memphis Grizzlies,96,Box Score,,18119,
Sat Mar 14 2015,9:00p,Detroit Pistons,85,Utah Jazz,88,Box Score,,19911,
Sat Mar 14 2015,10:30p,New York Knicks,94,Golden State Warriors,125,Box Score,,19596,
Sun Mar 15 2015,1:00p,Chicago Bulls,100,Oklahoma City Thunder,109,Box Score,,18203,
Sun Mar 15 2015,3:30p,Houston Rockets,100,Los Angeles Clippers,98,Box Score,,19211,
Sun Mar 15 2015,6:00p,Denver Nuggets,118,New Orleans Pelicans,111,Box Score,2OT,17248,
Sun Mar 15 2015,6:00p,Cleveland Cavaliers,123,Orlando Magic,108,Box Score,,17786,
Sun Mar 15 2015,7:00p,Minnesota Timberwolves,97,San Antonio Spurs,123,Box Score,,18581,
Sun Mar 15 2015,7:00p,Portland Trail Blazers,113,Toronto Raptors,97,Box Score,,19800,
Sun Mar 15 2015,9:00p,New York Knicks,89,Phoenix Suns,102,Box Score,,17264,
Sun Mar 15 2015,9:30p,Atlanta Hawks,91,Los Angeles Lakers,86,Box Score,,17422,
Mon Mar 16 2015,7:00p,Toronto Raptors,117,Indiana Pacers,98,Box Score,,17060,
Mon Mar 16 2015,7:00p,Portland Trail Blazers,97,Washington Wizards,105,Box Score,,17324,
Mon Mar 16 2015,7:30p,Philadelphia 76ers,89,Boston Celtics,108,Box Score,,16553,
Mon Mar 16 2015,8:00p,Denver Nuggets,81,Memphis Grizzlies,92,Box Score,,16614,
Mon Mar 16 2015,8:00p,Cleveland Cavaliers,92,Miami Heat,106,Box Score,,19626,
Mon Mar 16 2015,8:00p,Brooklyn Nets,122,Minnesota Timberwolves,106,Box Score,,14234,
Mon Mar 16 2015,8:30p,Oklahoma City Thunder,115,Dallas Mavericks,119,Box Score,,20231,
Mon Mar 16 2015,9:00p,Charlotte Hornets,66,Utah Jazz,94,Box Score,,16743,
Mon Mar 16 2015,10:00p,Atlanta Hawks,110,Sacramento Kings,103,Box Score,,16835,
Mon Mar 16 2015,10:30p,Los Angeles Lakers,105,Golden State Warriors,108,Box Score,,19596,
Tue Mar 17 2015,7:30p,Memphis Grizzlies,95,Detroit Pistons,105,Box Score,,14399,
Tue Mar 17 2015,7:30p,San Antonio Spurs,100,New York Knicks,104,Box Score,OT,19812,
Tue Mar 17 2015,8:00p,Orlando Magic,94,Houston Rockets,107,Box Score,,18235,
Tue Mar 17 2015,8:00p,Milwaukee Bucks,84,New Orleans Pelicans,85,Box Score,,17881,
Tue Mar 17 2015,10:30p,Charlotte Hornets,92,Los Angeles Clippers,99,Box Score,,19060,
Wed Mar 18 2015,7:00p,Brooklyn Nets,92,Cleveland Cavaliers,117,Box Score,,20562,
Wed Mar 18 2015,7:00p,Detroit Pistons,83,Philadelphia 76ers,94,Box Score,,10776,
Wed Mar 18 2015,7:30p,Portland Trail Blazers,104,Miami Heat,108,Box Score,,19621,
Wed Mar 18 2015,7:30p,Minnesota Timberwolves,100,Toronto Raptors,105,Box Score,,19800,
Wed Mar 18 2015,8:00p,Indiana Pacers,86,Chicago Bulls,103,Box Score,,21753,
Wed Mar 18 2015,8:00p,Orlando Magic,102,Dallas Mavericks,107,Box Score,,20294,
Wed Mar 18 2015,8:00p,San Antonio Spurs,114,Milwaukee Bucks,103,Box Score,,14831,
Wed Mar 18 2015,8:00p,Boston Celtics,118,Oklahoma City Thunder,122,Box Score,,18203,
Wed Mar 18 2015,10:00p,Los Angeles Clippers,116,Sacramento Kings,105,Box Score,,16785,
Wed Mar 18 2015,10:30p,Atlanta Hawks,95,Golden State Warriors,114,Box Score,,19596,
Wed Mar 18 2015,10:30p,Washington Wizards,88,Utah Jazz,84,Box Score,,19498,
Thu Mar 19 2015,7:30p,Minnesota Timberwolves,95,New York Knicks,92,Box Score,OT,19812,
Thu Mar 19 2015,8:00p,Denver Nuggets,108,Houston Rockets,118,Box Score,,18456,
Thu Mar 19 2015,10:00p,New Orleans Pelicans,72,Phoenix Suns,74,Box Score,,18055,
Thu Mar 19 2015,10:30p,Utah Jazz,80,Los Angeles Lakers,73,Box Score,,17407,
Fri Mar 20 2015,7:00p,Portland Trail Blazers,104,Orlando Magic,111,Box Score,,16203,
Fri Mar 20 2015,7:00p,New York Knicks,81,Philadelphia 76ers,97,Box Score,,10079,
Fri Mar 20 2015,7:30p,Milwaukee Bucks,127,Brooklyn Nets,129,Box Score,3OT,16272,
Fri Mar 20 2015,7:30p,Indiana Pacers,92,Cleveland Cavaliers,95,Box Score,,20562,
Fri Mar 20 2015,7:30p,Denver Nuggets,91,Miami Heat,108,Box Score,,19710,
Fri Mar 20 2015,8:00p,Toronto Raptors,92,Chicago Bulls,108,Box Score,,21998,
Fri Mar 20 2015,8:00p,Atlanta Hawks,115,Oklahoma City Thunder,123,Box Score,,18203,
Fri Mar 20 2015,8:30p,Memphis Grizzlies,112,Dallas Mavericks,101,Box Score,,20399,
Fri Mar 20 2015,8:30p,Boston Celtics,89,San Antonio Spurs,101,Box Score,,18581,
Fri Mar 20 2015,10:00p,Charlotte Hornets,91,Sacramento Kings,101,Box Score,,16799,
Fri Mar 20 2015,10:30p,New Orleans Pelicans,96,Golden State Warriors,112,Box Score,,19596,
Fri Mar 20 2015,10:30p,Washington Wizards,99,Los Angeles Clippers,113,Box Score,,19218,
Sat Mar 21 2015,7:00p,Brooklyn Nets,123,Indiana Pacers,111,Box Score,,16453,
Sat Mar 21 2015,7:30p,Chicago Bulls,91,Detroit Pistons,107,Box Score,,20347,
Sat Mar 21 2015,8:00p,Phoenix Suns,117,Houston Rockets,102,Box Score,,18340,
Sat Mar 21 2015,8:00p,Portland Trail Blazers,86,Memphis Grizzlies,97,Box Score,,17898,
Sat Mar 21 2015,10:30p,Utah Jazz,91,Golden State Warriors,106,Box Score,,19596,
Sun Mar 22 2015,3:00p,San Antonio Spurs,114,Atlanta Hawks,95,Box Score,,19193,
Sun Mar 22 2015,3:00p,Cleveland Cavaliers,108,Milwaukee Bucks,90,Box Score,,16687,
Sun Mar 22 2015,3:00p,Miami Heat,75,Oklahoma City Thunder,93,Box Score,,18203,
Sun Mar 22 2015,3:30p,New Orleans Pelicans,100,Los Angeles Clippers,107,Box Score,,19299,
Sun Mar 22 2015,4:00p,New York Knicks,89,Toronto Raptors,106,Box Score,,19800,
Sun Mar 22 2015,6:00p,Detroit Pistons,105,Boston Celtics,97,Box Score,OT,18624,
Sun Mar 22 2015,6:00p,Denver Nuggets,119,Orlando Magic,100,Box Score,,15788,
Sun Mar 22 2015,6:00p,Washington Wizards,86,Sacramento Kings,109,Box Score,,17008,
Sun Mar 22 2015,7:00p,Charlotte Hornets,109,Minnesota Timberwolves,98,Box Score,,15262,
Sun Mar 22 2015,9:00p,Dallas Mavericks,92,Phoenix Suns,98,Box Score,,17435,
Sun Mar 22 2015,9:30p,Philadelphia 76ers,87,Los Angeles Lakers,101,Box Score,,17891,
Mon Mar 23 2015,7:00p,Houston Rockets,110,Indiana Pacers,100,Box Score,,16201,
Mon Mar 23 2015,7:30p,Boston Celtics,110,Brooklyn Nets,91,Box Score,,16814,
Mon Mar 23 2015,7:30p,Memphis Grizzlies,103,New York Knicks,82,Box Score,,19812,
Mon Mar 23 2015,8:00p,Charlotte Hornets,86,Chicago Bulls,98,Box Score,,21646,
Mon Mar 23 2015,9:00p,Minnesota Timberwolves,106,Utah Jazz,104,Box Score,OT,19911,
Mon Mar 23 2015,10:30p,Washington Wizards,76,Golden State Warriors,107,Box Score,,19596,
Tue Mar 24 2015,7:30p,Toronto Raptors,104,Detroit Pistons,108,Box Score,,14420,
Tue Mar 24 2015,8:00p,San Antonio Spurs,94,Dallas Mavericks,101,Box Score,,20328,
Tue Mar 24 2015,8:00p,Miami Heat,88,Milwaukee Bucks,89,Box Score,,12313,
Tue Mar 24 2015,8:00p,Los Angeles Lakers,117,Oklahoma City Thunder,127,Box Score,,18203,
Tue Mar 24 2015,10:00p,Philadelphia 76ers,106,Sacramento Kings,107,Box Score,,16636,
Tue Mar 24 2015,10:30p,Golden State Warriors,122,Portland Trail Blazers,108,Box Score,,19985,
Wed Mar 25 2015,7:00p,Brooklyn Nets,91,Charlotte Hornets,88,Box Score,,15091,
Wed Mar 25 2015,7:00p,Los Angeles Clippers,111,New York Knicks,80,Box Score,,19812,
Wed Mar 25 2015,7:00p,Atlanta Hawks,95,Orlando Magic,83,Box Score,,17224,
Wed Mar 25 2015,7:00p,Chicago Bulls,116,Toronto Raptors,103,Box Score,,19800,
Wed Mar 25 2015,7:00p,Indiana Pacers,103,Washington Wizards,101,Box Score,,18514,
Wed Mar 25 2015,7:30p,Miami Heat,93,Boston Celtics,86,Box Score,,18624,
Wed Mar 25 2015,8:00p,Cleveland Cavaliers,111,Memphis Grizzlies,89,Box Score,,18119,
Wed Mar 25 2015,8:00p,Los Angeles Lakers,101,Minnesota Timberwolves,99,Box Score,OT,13438,
Wed Mar 25 2015,8:00p,Houston Rockets,95,New Orleans Pelicans,93,Box Score,,17077,
Wed Mar 25 2015,9:00p,Philadelphia 76ers,99,Denver Nuggets,85,Box Score,,14068,
Wed Mar 25 2015,9:00p,Portland Trail Blazers,92,Utah Jazz,89,Box Score,,19911,
Wed Mar 25 2015,9:30p,Oklahoma City Thunder,91,San Antonio Spurs,130,Box Score,,18581,
Wed Mar 25 2015,10:00p,Sacramento Kings,108,Phoenix Suns,99,Box Score,,17589,
Thu Mar 26 2015,8:00p,Indiana Pacers,107,Milwaukee Bucks,111,Box Score,,15366,
Fri Mar 27 2015,7:00p,Detroit Pistons,111,Orlando Magic,97,Box Score,,16427,
Fri Mar 27 2015,7:00p,Los Angeles Clippers,119,Philadelphia 76ers,98,Box Score,,16070,
Fri Mar 27 2015,7:00p,Charlotte Hornets,107,Washington Wizards,110,Box Score,2OT,18441,
Fri Mar 27 2015,7:30p,Miami Heat,86,Atlanta Hawks,99,Box Score,,19233,
Fri Mar 27 2015,7:30p,Cleveland Cavaliers,98,Brooklyn Nets,106,Box Score,,17732,
Fri Mar 27 2015,7:30p,Boston Celtics,96,New York Knicks,92,Box Score,,19812,
Fri Mar 27 2015,7:30p,Los Angeles Lakers,83,Toronto Raptors,94,Box Score,,19800,
Fri Mar 27 2015,8:00p,Minnesota Timberwolves,110,Houston Rockets,120,Box Score,,18322,
Fri Mar 27 2015,8:00p,Golden State Warriors,107,Memphis Grizzlies,84,Box Score,,18119,
Fri Mar 27 2015,8:00p,Sacramento Kings,88,New Orleans Pelicans,102,Box Score,,17669,
Fri Mar 27 2015,8:30p,Dallas Mavericks,76,San Antonio Spurs,94,Box Score,,18581,
Fri Mar 27 2015,9:00p,Utah Jazz,91,Denver Nuggets,107,Box Score,,15312,
Fri Mar 27 2015,10:00p,Portland Trail Blazers,87,Phoenix Suns,81,Box Score,,17219,
Sat Mar 28 2015,7:00p,Atlanta Hawks,100,Charlotte Hornets,115,Box Score,,19122,
Sat Mar 28 2015,8:00p,New York Knicks,80,Chicago Bulls,111,Box Score,,22152,
Sat Mar 28 2015,8:30p,Golden State Warriors,108,Milwaukee Bucks,95,Box Score,,18717,
Sat Mar 28 2015,9:00p,Oklahoma City Thunder,89,Utah Jazz,94,Box Score,,19911,
Sat Mar 28 2015,10:00p,Denver Nuggets,114,Portland Trail Blazers,120,Box Score,,19769,
Sun Mar 29 2015,12:30p,Houston Rockets,99,Washington Wizards,91,Box Score,,20356,
Sun Mar 29 2015,3:30p,Los Angeles Lakers,99,Brooklyn Nets,107,Box Score,,17732,
Sun Mar 29 2015,4:00p,Minnesota Timberwolves,88,New Orleans Pelicans,110,Box Score,,17576,
Sun Mar 29 2015,4:30p,Philadelphia 76ers,86,Cleveland Cavaliers,87,Box Score,,20562,
Sun Mar 29 2015,6:00p,Los Angeles Clippers,119,Boston Celtics,106,Box Score,,18624,
Sun Mar 29 2015,6:00p,Detroit Pistons,102,Miami Heat,109,Box Score,,19685,
Sun Mar 29 2015,7:00p,Dallas Mavericks,99,Indiana Pacers,104,Box Score,,17358,
Sun Mar 29 2015,7:00p,Memphis Grizzlies,89,San Antonio Spurs,103,Box Score,,18581,
Sun Mar 29 2015,9:00p,Oklahoma City Thunder,109,Phoenix Suns,97,Box Score,,17538,
Mon Mar 30 2015,7:00p,Boston Celtics,116,Charlotte Hornets,104,Box Score,,15140,
Mon Mar 30 2015,7:00p,Los Angeles Lakers,113,Philadelphia 76ers,111,Box Score,OT,13501,
Mon Mar 30 2015,7:30p,Milwaukee Bucks,88,Atlanta Hawks,101,Box Score,,18453,
Mon Mar 30 2015,7:30p,Houston Rockets,96,Toronto Raptors,99,Box Score,,19800,
Mon Mar 30 2015,8:00p,Sacramento Kings,83,Memphis Grizzlies,97,Box Score,,17218,
